Date,simple return
2010-01-04,
2010-01-05,0.00032754696081460644
2010-01-06,-0.004743389707434931
2010-01-07,-0.0054228594544739606
2010-01-08,-0.0013218565339058186
2010-01-11,-0.003970906571082011
2010-01-12,0.011461516534999161
2010-01-13,0.010346685783203746
2010-01-14,0.0009753857716954251
2010-01-15,-0.01234160777417248
2010-01-19,0.014797599241954451
2010-01-20,-0.013544276927537457
2010-01-21,-0.010091133446822664
2010-01-22,0.007854421433517444
2010-01-25,0.005305713299468273
2010-01-26,0.0009898870176971997
2010-01-27,0.00197729344998665
2010-01-28,0.014306609939705117
2010-01-29,-0.002107672622760015
2010-02-01,0.007148920011615267
2010-02-02,0.01467932731066468
2010-02-03,-0.003974194385805263
2010-02-04,-0.01995236819954005
2010-02-05,-0.001628547796973523
2010-02-08,-0.00473083749012948
2010-02-09,0.01229287788272626
2010-02-10,-0.0014574920554140114
2010-02-11,0.004702799000122493
2010-02-12,-0.0032279989308278134
2010-02-16,0.01732543058645919
2010-02-17,0.0003180439129517598
2010-02-18,0.008592027485603282
2010-02-19,0.000946453630904287
2010-02-22,-0.0004728626902253952
2010-02-23,-0.0033110211203809525
2010-02-24,0.010757771332631227
2010-02-25,-0.00297397874126204
2010-02-26,-0.006593348759070472
2010-03-01,0.003634378801827376
2010-03-02,0.0031495512297470274
2010-03-03,-0.0025114479664899436
2010-03-04,0.0018881411968827422
2010-03-05,0.0003143462913490769
2010-03-08,-0.007850708107154047
2010-03-09,0.0017409915090995653
2010-03-10,-0.0045816970030303494
2010-03-11,0.0025391814146389358
2010-03-12,0.002374709763741212
2010-03-15,0.006001250472768671
2010-03-16,-0.0026686514145894957
2010-03-17,0.007555442283941893
2010-03-18,-0.004374250319698403
2010-03-19,0.0017258247015132788
2010-03-22,0.0006264386947778533
2010-03-23,0.010175511556903105
2010-03-24,-0.014256813906963428
2010-03-25,0.00015744608157519657
2010-03-26,0.0011002036419840433
2010-03-29,0.000627913846533934
2010-03-30,-0.0010985538003862594
2010-03-31,-0.006126189044925678
2010-04-01,0.00142254013634191
2010-04-05,0.006312844588201694
2010-04-06,-0.010194081396902366
2010-04-07,-0.009665805331563693
2010-04-08,0.0009600156485849443
2010-04-09,0.002717027023874552
2010-04-12,-0.00047803730073381345
2010-04-13,0.004784683345955498
2010-04-14,0.0030159925748820537
2010-04-15,-0.0030069237152834383
2010-04-16,-0.0023810335169413
2010-04-19,0.005887284189703523
2010-04-20,-0.00047458292282687164
2010-04-21,0.006963212903805527
2010-04-22,-0.0006288384115477053
2010-04-23,-0.0007863139463205604
2010-04-26,0.006295295339029838
2010-04-27,-0.01298065046901975
2010-04-28,0.00865390416055023
2010-04-29,-0.015355229550090499
2010-04-30,-0.0006431069447282445
2010-05-03,0.008365432693237196
2010-05-04,-0.01547535150247814
2010-05-05,0.007292167569514119
2010-05-06,-0.022683369448894486
2010-05-07,-0.007242679472671321
2010-05-10,0.03498566981228923
2010-05-11,-0.0008009874137034911
2010-05-12,0.010421688419532948
2010-05-13,-0.004284301137584268
2010-05-14,-0.003346655564667844
2010-05-17,0.013431405296795651
2010-05-18,-0.002682090515483848
2010-05-19,0.00015814548886883273
2010-05-20,-0.025466777060494605
2010-05-21,0.003895423516157903
2010-05-24,-0.007275577636577157
2010-05-25,-0.0057000558416769875
2010-05-26,-0.009991970254701554
2010-05-27,0.008438102020030813
2010-05-28,0.0022970796069248234
2010-06-01,0.0011457787172226563
2010-06-02,0.009483489905752762
2010-06-03,0.0009714650210972398
2010-06-04,-0.016181058854147
2010-06-07,-0.002960834578018545
2010-06-08,0.025074677821509406
2010-06-09,-0.010782250441269792
2010-06-10,0.007157845566082122
2010-06-11,-0.014537051979771731
2010-06-14,0.003933732062066486
2010-06-15,0.010775375729694225
2010-06-16,-0.011629726343026614
2010-06-17,0.009315132023470785
2010-06-18,-0.007448038334881724
2010-06-21,-0.0032627448214251897
2010-06-22,-0.006219121354798629
2010-06-23,0.01086968827240864
2010-06-24,-0.0083090467490744
2010-06-25,-0.01774276724582491
2010-06-28,0.013881630029797032
2010-06-29,-0.004948628376083342
2010-06-30,-0.0056365638161015585
2010-07-01,-0.007335658083742258
2010-07-02,-0.0026874409178104797
2010-07-06,-0.0006735602164336107
2010-07-07,0.02494117850968225
2010-07-08,0.01857915133466803
2010-07-09,-0.0032283418479688297
2010-07-12,0.005505947752641571
2010-07-13,0.004831382902751091
2010-07-14,0.004328237534039214
2010-07-15,0.0011169027066111337
2010-07-16,-0.011796498275320477
2010-07-19,-0.0020973684488979627
2010-07-20,0.003395229865332583
2010-07-21,-0.007761596594971332
2010-07-22,0.004254561757560449
2010-07-23,0.008799457763968732
2010-07-26,0.009852767755275549
2010-07-27,0.008956978985011244
2010-07-28,-0.006023851745563302
2010-07-29,-0.016427989190007986
2010-07-30,-0.00826908124987391
2010-08-02,0.014715290725574981
2010-08-03,-0.03416072439988582
2010-08-04,-0.006506109831202034
2010-08-05,0.005205381070878978
2010-08-06,0.0026729320960432457
2010-08-09,0.005998021421529831
2010-08-10,0.006624780862683144
2010-08-11,-0.008390760731524227
2010-08-12,-0.0046457660611398666
2010-08-13,-0.0028338677881900587
2010-08-16,-0.0008357517213334331
2010-08-17,0.008700063835777483
2010-08-18,0.007629544650604947
2010-08-19,-0.009218119157093252
2010-08-20,-0.0034889779248812314
2010-08-23,0.0008336092354492841
2010-08-24,-0.0061634662513339045
2010-08-25,0.00016756371435699968
2010-08-26,-0.0021785741460393915
2010-08-27,0.004366573939022622
2010-08-30,-0.007190723655649767
